label,N_min,N_max,N_mean,P_min,P_max,P_mean,K_min,K_max,K_mean,Ph_min,Ph_max,Ph_mean,Rabi_T_min,Rabi_T_max,Rabi_T_mean,Rabi_Rain_min,Rabi_Rain_max,Rabi_Rain_mean,Kharif_T_min,Kharif_T_max,Kharif_T_mean,Kharif_Rain_min,Kharif_Rain_max,Kharif_Rain_mean
Barley,0.000261711,0.5813,0.20824631566003976,0.412473,462.0,15.139746228628232,41.134,1458.2,269.7976163021869,4.7,8.5,5.7995825049701795,2.053333333,33.97333333,15.926393306899602,0.413333333,5.66,2.764042412049702,3.98,28.24333333,16.027393969995526,2.156666667,19.92,8.374105368242544
Bean,0.000261711,0.5816,0.1961178504624506,0.5,294.664,19.80629249011858,58.0,2110.32,362.1935138339921,4.4,8.1,5.984347826086957,2.053333333,33.97333333,16.656861001346837,0.0,5.66,2.523913043397233,3.98,28.24333333,16.628033597392292,2.156666667,19.92,8.1004216076166
Dagussa,0.0749,0.275904325,0.19118823390140846,1.0,16.0,2.8422535211267608,62.0,622.0,250.70422535211267,4.7,6.3,5.240845070422536,5.76,33.1,20.00728873128521,0.413333333,5.66,2.7715023472253524,8.26,26.3,18.24354460169014,4.36,19.92,11.279248826345066
Fallow,0.0445,0.5309,0.2066242155384615,1.0,85.0,10.324615384615385,50.0,832.0,245.9276923076923,5.0,7.3,5.931538461538461,5.76,33.97333333,17.961891025182695,0.75,5.66,3.0461538461346156,8.26,27.76666667,16.684358974807694,2.156666667,19.92,10.348205128923079
Maize,0.000261711,0.372455231,0.18970279017896177,0.05,240.0,9.03139344262295,61.0,1778.0,387.80909836065575,4.5,8.14,5.644002732240437,5.76,33.97333333,19.554288478311474,0.38,5.66,2.977802823172131,8.26,27.76666667,17.969499089781422,2.156666667,19.92,11.179385246138661
Niger seed,0.000261711,0.2883,0.173170004,1.0,24.0,3.5462499999999997,103.0,952.33,279.01578125000003,4.6,7.42,5.69234375,5.76,33.21666667,18.803437499425783,0.413333333,5.66,2.9016406248828126,8.26,27.53333333,17.37104166734375,2.156666667,19.92,10.778697917265625
Pea,0.0442,0.2543,0.1285254645744681,0.05,95.6,6.2261702127659575,78.0,682.0,322.923085106383,5.0,8.3,6.378297872340425,5.76,33.97333333,18.881515956749997,0.38,5.66,2.9446099290319143,8.26,27.76666667,17.444193263164895,2.156666667,19.92,10.231595745377657
Potato,0.111842553,0.6956,0.23614469827083337,1.0,83.0,17.596041666666668,89.0,1007.0,405.7575,4.5,7.02,5.616875,5.76,32.58,17.65522569391667,0.91,5.66,3.3545833332812496,8.26,25.64333333,16.45411458359375,2.96,19.92,11.533645834406249
Red Pepper,0.0941,0.29,0.18599453420689654,1.0,17.0,5.544827586206897,76.22,913.0,324.98172413793105,5.05,7.55,5.913793103448276,5.76,33.1,19.629425287181032,0.413333333,5.403333333,3.7203448274137942,8.26,26.3,18.22071839068965,4.36,19.36333333,12.424252873051724
Sorghum,0.000261711,0.372455231,0.14047240905555555,1.0,112.0,16.752,84.0,1336.0,418.39730555555553,5.04,8.3,6.603750000000001,5.76,33.61666667,18.78160879622917,0.38,5.66,2.6496527777430554,8.26,27.53333333,17.377268518958335,2.156666667,19.92,9.61270833367361
Teff,0.000261711,0.4593,0.15042472047936506,0.05,417.0,8.533174603174603,49.0,1403.0,315.9492619047619,4.3,8.46,5.984388888888889,5.76,33.97333333,18.799869708590474,0.38,5.66,2.7039907406964288,8.26,27.76666667,17.37040806946627,2.156666667,19.92,9.578810846936113
Wheat,0.000261711,0.4642,0.1972994775160839,0.0,782.0,14.55353426573427,42.0,2119.0,298.26906153846153,4.6,8.1,5.790797202797203,2.053333333,33.97333333,16.92187645676259,0.0,5.66,2.760431235361539,3.98,28.24333333,16.57143473241119,2.156666667,19.92,9.002137529613286
